hour_of_day,day_of_week,is_weekend,is_business_hours,geo_lat,geo_lon,geo_velocity,session_duration_minutes,resource_hash,auth_method_encoded,n_events_last_1h,n_events_last_24h,n_unique_resources_last_24h,n_failed_auths_last_1h,device_os_encoded,days_since_first_seen
7,0,0,0,19.076,72.8777,0.0,34.139072836979466,13,2,1,2,2,0.0,2,10.25763888888889
20,4,0,0,1.3521,103.8198,0.0,45.495357853061805,727,2,1,2,2,0.0,2,0.4736111111111111
15,3,0,1,19.076,72.8777,0.0,62.63510568737669,883,2,1,4,3,0.0,2,13.615277777777777
21,6,1,0,43.651,-79.347,0.0,66.9493279517716,103,2,1,4,4,0.0,2,2.877083333333333
17,2,0,1,48.8566,2.3522,0.0,294.88668248912035,866,0,1,4,4,0.0,0,19.5875
0,1,0,0,48.8566,2.3522,0.0,252.6053641365507,866,0,1,6,6,0.0,0,4.061805555555556
23,2,0,0,43.651,-79.347,0.0,56.305647860868,292,2,1,5,4,0.0,2,19.76736111111111
4,1,0,0,40.7128,-74.006,0.0,77.44484393516007,103,2,1,2,1,0.0,2,18.277083333333334
12,3,0,1,52.52,13.405,0.0,55.92404940195438,226,2,1,3,3,0.0,2,13.753472222222221
7,3,0,0,19.076,72.8777,0.0,40.30739590360911,750,2,1,6,3,0.0,2,20.478472222222223
3,3,0,0,43.651,-79.347,0.0,6.442246936639827,619,4,18,22,15,0.0,2,19.931944444444444
0,6,1,0,51.5074,-0.1278,0.0,51.96054832328928,981,2,1,4,4,0.0,2,1.70625
3,5,1,0,48.8566,2.3522,0.0,329.42892022103047,13,0,1,5,3,0.0,0,0.5722222222222222
7,6,1,0,48.8566,2.3522,0.0,49.97783871691509,732,2,1,4,3,0.0,2,2.060416666666667
0,6,1,0,40.7128,-74.006,0.0,89.29660797408862,750,2,1,2,2,0.0,2,9.086805555555555
0,1,0,0,37.7749,-122.4194,0.0,0.0,13,3,13,18,5,13.0,2,3.671388888888889
23,3,0,0,52.52,13.405,0.0,34.882958093201324,567,2,1,4,3,0.0,2,7.216666666666667
9,6,1,1,1.3521,103.8198,0.0,64.4186520081048,670,2,1,3,3,0.0,2,15.952083333333333
10,4,0,1,51.5074,-0.1278,0.0,69.19237982503982,670,2,2,6,4,0.0,2,14.26736111111111
12,1,0,1,-33.8688,151.2093,0.0,8.281869316325785,883,4,11,14,11,0.0,2,18.648611111111112
22,2,0,0,1.3521,103.8198,0.0,279.1382582380843,173,0,1,2,2,0.0,0,19.457638888888887
1,6,1,0,43.651,-79.347,0.0,171.0853574929735,165,0,1,2,2,0.0,0,16.18263888888889
12,1,0,1,48.8566,2.3522,0.0,48.46850384942219,173,2,1,4,2,0.0,2,11.39375
7,3,0,0,40.7128,-74.006,0.0,79.40900284658571,103,2,1,3,3,0.0,2,19.811805555555555
8,2,0,0,52.52,13.405,0.0,69.76448518169163,981,2,1,4,3,0.0,2,12.530555555555555
11,5,1,1,1.3521,103.8198,0.0,337.9032853086984,269,0,1,6,5,0.0,0,22.002777777777776
4,5,1,0,51.5074,-0.1278,0.0,53.14030640164944,850,2,1,1,1,0.0,2,22.045833333333334
5,5,1,0,51.5074,-0.1278,0.0,44.94841644750745,727,2,1,3,3,0.0,2,8.33611111111111
4,2,0,0,-33.8688,151.2093,0.0,39.37372150249372,269,2,1,6,4,0.0,2,11.904166666666667
17,1,0,1,1.3521,103.8198,0.0,69.28624754082016,670,2,1,6,6,0.0,2,11.33125
10,2,0,1,52.52,13.405,0.0,52.68683165390111,883,2,1,5,4,0.0,2,19.426388888888887
22,5,1,0,-33.8688,151.2093,0.0,42.1859832393398,269,2,1,1,1,0.0,2,22.678472222222222
18,2,0,1,-33.8688,151.2093,0.0,73.85262924071053,636,2,1,2,2,0.0,2,5.427777777777778
12,5,1,1,51.5074,-0.1278,0.0,62.54041236054117,469,4,1,6,5,0.0,2,1.5569444444444445
18,5,1,1,37.7749,-122.4194,0.0,48.86294121452927,292,2,1,4,2,0.0,2,1.5305555555555554
13,1,0,1,37.7749,-122.4194,0.0,56.92061217557229,981,2,2,4,4,0.0,2,18.520138888888887
3,2,0,0,35.6762,139.6503,0.0,55.72815885726907,750,2,1,7,4,0.0,2,11.626388888888888
20,1,0,0,48.8566,2.3522,0.0,244.13364955343823,165,0,1,2,2,0.0,0,11.861805555555556
22,2,0,0,1.3521,103.8198,0.0,47.15567814509579,449,2,1,7,4,0.0,2,20.16875
8,0,0,0,37.7749,-122.4194,0.0,73.5340709991518,69,2,1,3,3,0.0,2,10.05
20,3,0,0,43.651,-79.347,0.0,51.74267609598556,981,2,1,26,15,0.0,2,20.62847222222222
4,1,0,0,37.7749,-122.4194,0.0,31.96538886259685,883,2,1,3,3,0.0,2,17.854166666666668
13,3,0,1,35.6762,139.6503,0.0,15.956985843328276,103,2,1,1,1,0.0,2,20.52638888888889
7,5,1,0,19.076,72.8777,0.0,316.6684925630439,103,0,1,6,4,0.0,0,8.529861111111112
13,5,1,1,37.7749,-122.4194,0.0,96.3912842077958,670,2,2,5,4,0.0,2,22.49513888888889
0,4,0,0,-33.8688,151.2093,0.0,47.60452072101197,173,2,2,5,4,0.0,2,13.88125
1,0,0,0,19.076,72.8777,0.0,60.57117029094689,850,2,1,25,16,0.0,2,16.959027777777777
5,5,1,0,1.3521,103.8198,0.0,58.81402470768942,165,2,3,5,4,0.0,2,22.043055555555554
15,5,1,1,43.651,-79.347,0.0,57.86571461332278,69,2,1,5,5,0.0,2,22.811805555555555
8,1,0,0,37.7749,-122.4194,0.0,75.32187156023065,226,2,1,5,3,0.0,2,18.575694444444444
3,4,0,0,-33.8688,151.2093,0.0,75.46499283743927,173,2,1,1,1,0.0,2,0.0
22,3,0,0,37.7749,-122.4194,0.0,68.42360205856657,165,2,1,5,3,0.0,2,13.86736111111111
12,5,1,1,43.651,-79.347,0.0,54.75862574046439,292,2,1,2,1,0.0,2,15.002083333333333
12,3,0,1,51.5074,-0.1278,0.0,64.017654567995,567,2,1,4,4,0.0,2,6.06875
19,5,1,0,51.5074,-0.1278,0.0,51.732214255072,750,3,1,6,5,0.0,2,1.742361111111111
8,0,0,0,19.076,72.8777,0.0,70.43306636348666,750,2,1,2,2,0.0,2,3.522222222222222
9,1,0,1,1.3521,103.8198,0.0,292.91686840638783,69,0,1,5,5,0.0,0,11.45486111111111
7,2,0,0,51.5074,-0.1278,0.0,275.217562356033,981,0,1,3,3,0.0,0,19.178472222222222
9,2,0,1,19.076,72.8777,0.0,47.15252643886201,469,2,1,3,3,0.0,2,5.288194444444445
0,0,0,0,40.7128,-74.006,0.0,54.98884153530089,732,2,1,2,2,0.0,2,3.061111111111111
9,1,0,1,52.52,13.405,0.0,55.93327277457136,567,1,1,8,3,0.0,2,18.571527777777778
2,2,0,0,43.651,-79.347,0.0,48.112148293271815,883,2,1,4,4,0.0,2,5.098611111111111
7,6,1,0,40.7128,-74.006,0.0,44.57898281303834,866,2,2,5,4,0.0,2,22.838194444444444
18,3,0,1,51.5074,-0.1278,0.0,66.36877644070718,750,0,1,4,4,0.0,2,20.96388888888889
5,2,0,0,35.6762,139.6503,0.0,250.50423434882256,567,0,1,5,5,0.0,0,19.038194444444443
0,1,0,0,37.7749,-122.4194,0.0,0.0,13,3,6,11,5,6.0,2,3.6710648148148146
23,6,1,0,48.8566,2.3522,0.0,387.6687599362158,103,0,1,4,4,0.0,0,16.84027777777778
17,3,0,1,37.7749,-122.4194,0.0,0.0,13,3,12,15,4,12.0,2,20.428981481481483
5,0,0,0,1.3521,103.8198,0.0,58.8326784579529,636,2,1,3,2,0.0,2,10.422916666666667
4,3,0,0,1.3521,103.8198,0.0,62.90492646775199,449,2,1,4,3,0.0,2,13.009722222222223
16,6,1,1,52.52,13.405,0.0,72.97934634202875,469,2,1,3,3,0.0,2,9.102777777777778
11,6,1,1,35.6762,139.6503,0.0,77.1134396572541,449,2,1,3,3,0.0,2,16.513194444444444
21,1,0,0,19.076,72.8777,0.0,68.78856301746974,670,2,1,3,2,0.0,2,5.144444444444445
19,3,0,0,19.076,72.8777,0.0,57.04783315353559,226,2,1,3,3,0.0,2,20.883333333333333
7,4,0,0,51.5074,-0.1278,0.0,74.75604065855346,670,2,1,4,4,0.0,2,14.415277777777778
2,5,1,0,43.651,-79.347,0.0,43.934706562027685,567,2,1,1,1,0.0,2,22.273611111111112
8,3,0,0,19.076,72.8777,0.0,63.60731474201641,750,2,1,7,3,0.0,2,20.523611111111112
23,3,0,0,19.076,72.8777,0.0,71.96776052073209,619,2,1,6,5,0.0,2,7.075694444444444
7,4,0,0,-33.8688,151.2093,0.0,57.10790869038881,226,2,1,2,1,0.0,2,14.015277777777778
23,5,1,0,37.7749,-122.4194,0.0,48.3693145549109,228,2,1,3,2,0.0,2,15.777083333333334
23,0,0,0,19.076,72.8777,0.0,300.6327232074327,850,0,1,3,3,0.0,0,18.21736111111111
5,0,0,0,1.3521,103.8198,0.0,61.28839509439996,469,2,2,6,6,0.0,2,3.404166666666667
5,5,1,0,37.7749,-122.4194,0.0,59.7514738526622,883,2,1,1,1,0.0,2,7.89375
11,5,1,1,43.651,-79.347,0.0,86.9762246874723,449,2,1,2,2,0.0,2,22.34722222222222
0,5,1,0,48.8566,2.3522,0.0,80.55152780415557,103,2,1,4,4,0.0,2,7.583333333333333
13,0,0,1,1.3521,103.8198,0.0,204.688168995531,260,0,2,3,2,0.0,0,10.092361111111112
6,1,0,0,19.076,72.8777,0.0,53.85470111055754,670,2,2,8,5,0.0,2,4.2375
10,0,0,1,43.651,-79.347,0.0,11.377292620063194,292,2,1,3,2,0.0,2,10.443055555555556
7,1,0,0,48.8566,2.3522,0.0,313.238765548899,636,0,1,4,3,0.0,0,4.326388888888889
9,2,0,1,52.52,13.405,0.0,68.55760812531774,866,2,1,3,2,0.0,2,5.508333333333334
16,6,1,1,40.7128,-74.006,0.0,71.53822915843574,670,2,1,3,2,0.0,2,16.6875
15,5,1,1,48.8566,2.3522,0.0,389.19612976008847,226,0,2,4,4,0.0,0,8.669444444444444
1,5,1,0,-33.8688,151.2093,0.0,55.90733180489804,469,2,1,1,1,0.0,2,7.927777777777778
21,2,0,0,40.7128,-74.006,0.0,53.31307029259774,226,1,1,2,2,0.0,2,13.05486111111111
2,2,0,0,43.651,-79.347,0.0,62.81912664649135,883,2,1,2,2,0.0,2,12.147222222222222
0,4,0,0,-33.8688,151.2093,0.0,59.37813056505322,226,2,1,2,2,0.0,2,21.155555555555555
5,4,0,0,19.076,72.8777,0.0,63.15744448382255,670,2,1,4,4,0.0,2,7.4743055555555555
3,0,0,0,40.7128,-74.006,0.0,243.8060797437203,619,0,1,3,3,0.0,0,10.06875
19,2,0,0,52.52,13.405,0.0,72.82355883954604,173,2,1,4,2,0.0,2,12.984027777777778
22,6,1,0,37.7749,-122.4194,0.0,60.1878279649468,727,2,1,5,5,0.0,2,10.17361111111111
12,3,0,1,40.7128,-74.006,0.0,226.1417791843809,13,0,1,3,3,0.0,0,13.075
2,0,0,0,52.52,13.405,0.0,43.320494613387545,727,2,1,5,3,0.0,2,3.084722222222222
1,6,1,0,35.6762,139.6503,0.0,75.32437146599922,619,2,1,3,3,0.0,2,9.081944444444444
1,4,0,0,1.3521,103.8198,0.0,56.94174796530218,292,2,1,4,3,0.0,2,20.89097222222222
13,0,0,1,19.076,72.8777,0.0,57.77732199752656,228,2,1,2,2,0.0,2,17.477083333333333
7,4,0,0,-33.8688,151.2093,0.0,71.51152093729362,567,2,1,3,2,0.0,2,0.15347222222222223
1,2,0,0,40.7128,-74.006,0.0,78.74257351059238,469,2,1,2,1,0.0,2,5.157638888888889
1,0,0,0,51.5074,-0.1278,0.0,145.87189124283813,449,0,1,3,3,0.0,0,16.725
20,5,1,0,52.52,13.405,0.0,85.91945753072648,727,2,1,5,5,0.0,2,9.067361111111111
11,6,1,1,48.8566,2.3522,0.0,50.22167126202929,173,2,1,3,2,0.0,2,9.354166666666666
2,2,0,0,1.3521,103.8198,0.0,71.26649181760965,981,2,1,5,4,0.0,2,4.7444444444444445
7,6,1,0,48.8566,2.3522,0.0,56.214697770136645,850,2,2,3,3,0.0,2,16.06388888888889
4,3,0,0,19.076,72.8777,0.0,0.0,13,3,1,2,2,1.0,2,13.162881944444445
10,6,1,1,48.8566,2.3522,0.0,67.89821668730521,292,2,1,5,4,0.0,2,23.241666666666667
14,4,0,1,19.076,72.8777,0.0,47.94885810311344,228,2,1,4,3,0.0,2,21.652083333333334
15,5,1,1,40.7128,-74.006,0.0,50.64604679501041,866,2,1,1,1,0.0,2,15.13263888888889
20,5,1,0,51.5074,-0.1278,0.0,93.46950219288948,567,2,1,2,2,0.0,2,1.4493055555555556
10,5,1,1,-33.8688,151.2093,0.0,42.06795425001732,883,2,1,1,1,0.0,2,22.60902777777778
13,5,1,1,-33.8688,151.2093,0.0,66.60021675079999,670,2,1,4,4,0.0,2,1.4166666666666667
5,0,0,0,37.7749,-122.4194,0.0,345.7038582112017,619,1,1,2,2,0.0,0,9.940972222222221
16,5,1,1,51.5074,-0.1278,0.0,67.96024684515072,727,2,2,5,4,0.0,2,8.223611111111111
16,3,0,1,19.076,72.8777,0.0,274.49195931748915,981,0,1,4,3,0.0,0,6.9319444444444445
11,1,0,1,-33.8688,151.2093,0.0,57.51552884523552,226,2,1,5,3,0.0,2,4.613194444444445
11,1,0,1,40.7128,-74.006,0.0,321.11623987249374,469,0,1,1,1,0.0,0,11.396527777777777
15,0,0,1,1.3521,103.8198,0.0,56.49138021832658,269,2,1,3,2,0.0,2,17.603472222222223
19,3,0,0,35.6762,139.6503,0.0,71.03482715462053,732,2,1,4,3,0.0,2,13.859722222222222
23,5,1,0,51.5074,-0.1278,0.0,58.458488077686006,69,2,1,6,3,0.0,2,15.754166666666666
17,6,1,1,-33.8688,151.2093,0.0,75.53874314148051,228,2,1,5,5,0.0,2,16.883333333333333
21,2,0,0,43.651,-79.347,0.0,65.88951173476453,883,2,1,5,5,0.0,2,5.935416666666667
10,4,0,1,19.076,72.8777,0.0,316.7563066536832,732,0,1,3,3,0.0,0,21.669444444444444
8,4,0,0,51.5074,-0.1278,0.0,28.735025679857998,981,2,1,4,3,0.0,2,14.159722222222221
2,6,1,0,48.8566,2.3522,11937.855017977628,38.23171175610096,13,2,2,4,2,0.0,2,16.327083333333334
6,5,1,0,35.6762,139.6503,0.0,280.3454899649269,103,0,2,4,4,0.0,0,7.611111111111111
8,1,0,0,1.3521,103.8198,0.0,62.22086120836222,103,2,1,5,5,0.0,2,18.438194444444445
21,2,0,0,1.3521,103.8198,0.0,348.6028482869861,269,0,1,8,6,0.0,0,5.9875
3,3,0,0,48.8566,2.3522,0.0,34.7299863416042,981,2,1,2,1,0.0,2,5.970138888888889
5,4,0,0,51.5074,-0.1278,0.0,75.10095106840598,269,2,1,6,3,0.0,2,7.406944444444444
9,3,0,1,52.52,13.405,0.0,51.9771851581995,732,2,1,4,4,0.0,2,20.177083333333332
2,4,0,0,51.5074,-0.1278,0.0,36.08358511808449,173,2,2,2,2,0.0,2,0.022916666666666665
20,6,1,0,37.7749,-122.4194,0.0,61.257399418940416,670,2,1,4,3,0.0,2,2.790277777777778
13,0,0,1,52.52,13.405,0.0,63.26158621088764,866,2,1,5,3,0.0,2,17.186805555555555
11,3,0,1,35.6762,139.6503,0.0,94.87009958779228,670,2,1,4,2,0.0,2,6.55
2,6,1,0,51.5074,-0.1278,0.0,340.89907722269305,850,0,1,6,5,0.0,0,9.355555555555556
1,5,1,0,52.52,13.405,0.0,68.19884588532958,69,2,1,2,2,0.0,2,15.225694444444445
22,6,1,0,19.076,72.8777,0.0,60.35854564927433,103,2,1,2,2,0.0,2,2.995138888888889
20,5,1,0,-33.8688,151.2093,0.0,71.49120417577035,173,1,1,6,6,0.0,2,1.7166666666666666
8,1,0,0,51.5074,-0.1278,0.0,336.65896587112786,165,0,1,4,4,0.0,0,11.53888888888889
23,6,1,0,35.6762,139.6503,0.0,62.49739690672687,13,2,1,1,1,0.0,2,10.11111111111111
13,4,0,1,1.3521,103.8198,0.0,52.40866063212167,883,2,1,4,3,0.0,2,14.63125
10,4,0,1,37.7749,-122.4194,0.0,54.79257776372325,636,2,1,6,3,0.0,2,14.438194444444445
16,6,1,1,51.5074,-0.1278,0.0,0.0,13,3,15,20,4,15.0,2,16.52912037037037
6,5,1,0,1.3521,103.8198,0.0,60.69654822234223,469,0,1,2,2,0.0,2,1.2048611111111112
18,5,1,1,48.8566,2.3522,0.0,46.63211661877069,449,2,1,5,3,0.0,2,2.0034722222222223
1,0,0,0,48.8566,2.3522,0.0,316.70882086224486,103,0,1,3,2,0.0,0,3.071527777777778
22,0,0,0,40.7128,-74.006,0.0,51.16962450796089,866,3,1,4,4,0.0,2,17.458333333333332
15,5,1,1,51.5074,-0.1278,0.0,62.0091282442802,13,2,1,4,3,0.0,2,15.838888888888889
6,4,0,0,19.076,72.8777,0.0,80.17721430678623,670,2,1,4,3,0.0,2,7.218055555555556
13,6,1,1,51.5074,-0.1278,0.0,356.2717392207385,165,0,1,4,3,0.0,0,2.6006944444444446
0,4,0,0,-33.8688,151.2093,0.0,36.98728558969168,670,2,1,7,6,0.0,2,21.024305555555557
10,1,0,1,48.8566,2.3522,0.0,67.14645250075687,883,2,1,5,4,0.0,2,11.361805555555556
22,3,0,0,-33.8688,151.2093,0.0,58.49110341932689,292,2,2,6,6,0.0,2,20.965972222222224
5,5,1,0,1.3521,103.8198,0.0,66.99646931118475,165,2,2,7,6,0.0,2,7.870138888888889
22,2,0,0,19.076,72.8777,0.0,62.871630710169136,165,2,1,3,2,0.0,2,19.874305555555555
22,0,0,0,1.3521,103.8198,0.0,64.3083051776292,165,2,1,5,4,0.0,2,18.000694444444445
8,0,0,0,-33.8688,151.2093,0.0,44.24343556866049,449,1,1,6,5,0.0,2,10.456944444444444
17,5,1,1,51.5074,-0.1278,0.0,79.58664867431281,670,2,1,5,2,0.0,2,22.8
7,2,0,0,-33.8688,151.2093,0.0,9.924126459809829,636,4,8,11,9,0.0,2,19.14236111111111
